CMDLINE /Users/v.korobov/PycharmProjects/async-icq/venv/bin/python examples/bot_example.py
MEM 0.011719 1644536897.6755
MEM 15.527344 1644536897.7785
MEM 24.335938 1644536897.8830
MEM 29.531250 1644536897.9855
MEM 29.531250 1644536898.0896
MEM 29.531250 1644536898.1937
MEM 29.531250 1644536898.2972
MEM 29.531250 1644536898.4018
MEM 29.531250 1644536898.5044
MEM 29.531250 1644536898.6097
MEM 29.531250 1644536898.7112
MEM 29.531250 1644536898.8149
MEM 29.531250 1644536898.9165
MEM 29.531250 1644536899.0200
MEM 29.531250 1644536899.1238
MEM 29.531250 1644536899.2279
MEM 29.531250 1644536899.3310
MEM 29.531250 1644536899.4361
MEM 29.531250 1644536899.5365
MEM 29.531250 1644536899.6417
MEM 29.531250 1644536899.7462
MEM 29.531250 1644536899.8472
MEM 29.531250 1644536899.9479
MEM 29.531250 1644536900.0519
MEM 29.531250 1644536900.1539
MEM 29.531250 1644536900.2545
MEM 29.531250 1644536900.3596
MEM 29.531250 1644536900.4611
MEM 29.531250 1644536900.5619
MEM 29.531250 1644536900.6671
MEM 29.531250 1644536900.7711
MEM 29.531250 1644536900.8739
MEM 29.531250 1644536900.9792
MEM 29.531250 1644536901.0804
MEM 29.531250 1644536901.1839
MEM 29.531250 1644536901.2886
MEM 29.531250 1644536901.3912
MEM 29.531250 1644536901.4921
MEM 29.531250 1644536901.5968
MEM 29.531250 1644536901.6973
MEM 29.531250 1644536901.8027
MEM 29.531250 1644536901.9035
MEM 29.531250 1644536902.0049
MEM 29.531250 1644536902.1097
MEM 29.531250 1644536902.2112
MEM 29.531250 1644536902.3129
MEM 29.531250 1644536902.4182
MEM 29.531250 1644536902.5220
MEM 29.531250 1644536902.6246
MEM 29.531250 1644536902.7269
MEM 29.531250 1644536902.8319
MEM 29.531250 1644536902.9327
MEM 29.687500 1644536903.0339
MEM 29.687500 1644536903.1354
MEM 29.687500 1644536903.2371
MEM 29.687500 1644536903.3413
MEM 29.687500 1644536903.4419
MEM 29.687500 1644536903.5472
MEM 29.687500 1644536903.6511
MEM 29.687500 1644536903.7526
MEM 29.687500 1644536903.8572
MEM 29.687500 1644536903.9612
MEM 29.687500 1644536904.0619
MEM 29.687500 1644536904.1646
MEM 29.687500 1644536904.2649
MEM 29.687500 1644536904.3699
MEM 29.687500 1644536904.4739
MEM 29.687500 1644536904.5784
MEM 29.687500 1644536904.6827
MEM 29.687500 1644536904.7847
MEM 29.687500 1644536904.8885
MEM 29.687500 1644536904.9926
MEM 29.687500 1644536905.0972
MEM 29.687500 1644536905.2011
MEM 29.687500 1644536905.3015
MEM 29.687500 1644536905.4065
MEM 29.687500 1644536905.5112
MEM 29.687500 1644536905.6166
MEM 29.687500 1644536905.7210
MEM 29.687500 1644536905.8260
MEM 29.687500 1644536905.9292
MEM 29.687500 1644536906.0330
MEM 29.687500 1644536906.1340
MEM 29.687500 1644536906.2349
MEM 29.687500 1644536906.3353
MEM 29.687500 1644536906.4375
MEM 29.687500 1644536906.5420
MEM 29.687500 1644536906.6471
MEM 29.687500 1644536906.7509
MEM 29.687500 1644536906.8561
MEM 29.687500 1644536906.9620
MEM 29.687500 1644536907.0660
MEM 29.687500 1644536907.1709
MEM 29.687500 1644536907.2740
MEM 29.687500 1644536907.3777
MEM 29.687500 1644536907.4815
MEM 29.687500 1644536907.5830
MEM 29.687500 1644536907.6848
MEM 29.687500 1644536907.7901
MEM 29.687500 1644536907.8948
MEM 29.687500 1644536907.9971
MEM 29.687500 1644536908.0982
MEM 29.687500 1644536908.1989
MEM 29.687500 1644536908.3028
MEM 29.687500 1644536908.4073
MEM 29.734375 1644536908.5112
MEM 29.734375 1644536908.6128
MEM 29.734375 1644536908.7140
MEM 29.734375 1644536908.8162
MEM 29.734375 1644536908.9214
MEM 29.734375 1644536909.0259
MEM 29.753906 1644536909.1265
MEM 29.753906 1644536909.2278
MEM 29.773438 1644536909.3320
MEM 29.773438 1644536909.4356
MEM 29.781250 1644536909.5390
MEM 29.781250 1644536909.6425
MEM 29.792969 1644536909.7471
MEM 29.792969 1644536909.8475
MEM 29.792969 1644536909.9512
MEM 29.792969 1644536910.0522
MEM 29.792969 1644536910.1551
MEM 29.792969 1644536910.2553
MEM 29.792969 1644536910.3607
MEM 29.792969 1644536910.4615
MEM 29.792969 1644536910.5669
MEM 29.792969 1644536910.6709
MEM 29.792969 1644536910.7712
MEM 29.792969 1644536910.8755
MEM 29.792969 1644536910.9785
MEM 29.792969 1644536911.0823
MEM 29.792969 1644536911.1855
MEM 29.792969 1644536911.2896
MEM 29.792969 1644536911.3945
MEM 29.792969 1644536911.4998
MEM 29.792969 1644536911.6043
MEM 29.792969 1644536911.7074
MEM 29.792969 1644536911.8117
MEM 29.792969 1644536911.9170
MEM 29.792969 1644536912.0187
MEM 29.792969 1644536912.1218
MEM 29.792969 1644536912.2247
MEM 29.792969 1644536912.3288
MEM 29.792969 1644536912.4294
MEM 29.792969 1644536912.5329
MEM 29.792969 1644536912.6336
MEM 29.792969 1644536912.7363
MEM 29.792969 1644536912.8410
MEM 29.792969 1644536912.9452
MEM 29.792969 1644536913.0492
MEM 29.792969 1644536913.1510
MEM 29.792969 1644536913.2516
MEM 29.792969 1644536913.3563
MEM 29.792969 1644536913.4614
MEM 29.792969 1644536913.5648
MEM 29.792969 1644536913.6701
MEM 29.792969 1644536913.7738
MEM 29.992188 1644536913.8782
MEM 30.015625 1644536913.9819
MEM 30.015625 1644536914.0859
MEM 30.015625 1644536914.1900
MEM 30.015625 1644536914.2947
MEM 30.015625 1644536914.4001
MEM 30.015625 1644536914.5028
MEM 30.015625 1644536914.6033
MEM 30.015625 1644536914.7086
MEM 30.015625 1644536914.8113
MEM 30.015625 1644536914.9151
MEM 30.015625 1644536915.0158
MEM 30.015625 1644536915.1210
MEM 30.015625 1644536915.2230
MEM 30.015625 1644536915.3239
MEM 30.015625 1644536915.4247
MEM 30.015625 1644536915.5276
MEM 30.023438 1644536915.6311
MEM 30.066406 1644536915.7352
MEM 30.066406 1644536915.8357
MEM 30.066406 1644536915.9411
MEM 30.066406 1644536916.0465
MEM 30.066406 1644536916.1515
MEM 30.066406 1644536916.2517
MEM 30.066406 1644536916.3563
MEM 30.066406 1644536916.4613
MEM 30.074219 1644536916.5626
MEM 30.097656 1644536916.6655
MEM 30.097656 1644536916.7707
MEM 30.097656 1644536916.8739
MEM 30.097656 1644536916.9743
MEM 30.097656 1644536917.0785
MEM 30.097656 1644536917.1811
MEM 30.097656 1644536917.2838
MEM 30.097656 1644536917.3880
MEM 30.097656 1644536917.4924
MEM 30.097656 1644536917.5964
MEM 30.097656 1644536917.7011
MEM 30.097656 1644536917.8048
MEM 30.109375 1644536917.9051
MEM 30.109375 1644536918.0074
MEM 30.109375 1644536918.1113
MEM 30.109375 1644536918.2167
MEM 30.109375 1644536918.3187
MEM 30.109375 1644536918.4190
MEM 30.109375 1644536918.5234
MEM 30.109375 1644536918.6244
MEM 30.109375 1644536918.7249
MEM 30.109375 1644536918.8303
MEM 30.109375 1644536918.9310
MEM 30.109375 1644536919.0349
MEM 30.113281 1644536919.1353
MEM 30.113281 1644536919.2400
MEM 30.113281 1644536919.3440
MEM 30.113281 1644536919.4468
MEM 30.113281 1644536919.5478
MEM 30.113281 1644536919.6512
MEM 30.113281 1644536919.7551
MEM 30.113281 1644536919.8600
MEM 30.113281 1644536919.9633
MEM 30.113281 1644536920.0674
MEM 30.113281 1644536920.1728
MEM 30.113281 1644536920.2740
MEM 30.113281 1644536920.3745
MEM 30.113281 1644536920.4799
MEM 30.113281 1644536920.5826
MEM 30.113281 1644536920.6843
